PROPERTY_NUMBER;PROPERTY_TYPE;PROPERTY_ID;PARCEL_ID;TAX_BILL_ID;TAX_YEAR;EFFECTIVE_RATE;TAXSET_DESCR;CLASSIFICATION_ID;CLASSIFICATION_DESCR;TAX_MARKET_TOTAL;NET_TAX_OWED_1ST;NET_TAX_OWED_2ND
742-23-001;800;403234558;74223001;782147943;2018;77,928508;Beachwood;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);79834700;1088745,03;1088745,03
101-06-001;800;103287394;10106001;782134035;2018;95,437969;Cleveland;4110;HOTELS;72071500;1203712,82;1203712,82
102-22-003;800;303301895;10222003;781932488;2018;95,437969;Cleveland;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);47641800;795696,88;795696,88
741-25-002;800;203217150;74125002;782193510;2018;77,928508;Beachwood;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);45275100;617438,86;617438,86
119-17-033;800;103660444;11917033;781734700;2018;95,437969;Cleveland;4110;HOTELS;40980700;718667,59;684445,32
101-04-009;800;903287024;10104009;782035930;2018;95,437969;Cleveland;4110;HOTELS;38984100;651098,82;651098,82
101-37-001;800;703294969;10137001;782169182;2018;95,437969;Cleveland;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);36680400;643254,66;612623,48
862-32-041;800;303563570;86232041;782077282;2018;88,969525;Mayfield Hts.;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);36481100;567998,8;567998,8
101-13-003;800;403289341;10113003;782017233;2018;95,437969;Cleveland;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);35540400;593583,6;593583,6
763-34-001;800;203281923;76334001;781920416;2018;107,218084;Warrensville Hts.;4110;HOTELS;34895000;687478,23;654741,17
561-21-003;800;303499427;56121003;782170621;2018;62,172461;Independence;4110;HOTELS;34303900;373232,78;373232,78
741-25-008;800;303217169;74125008;781879682;2018;77,928508;Beachwood;4030;APARTMENTS 40 OR MORE UNITS (WALK-UP);33670200;762271,34;459176,98
119-15-001;800;603659540;11915001;781738617;2018;95,437969;Cleveland;4110;HOTELS;31921700;533145,13;533145,13
101-36-006;800;603294671;10136006;782191896;2018;95,437969;Cleveland;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);29323100;489744,24;489744,24
862-29-008;800;103562641;86229008;781919183;2018;88,969525;Mayfield Hts.;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);29016000;451769,9;451769,9
741-25-011;800;503217180;74125011;782083650;2018;77,928508;Beachwood;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);27536700;394308,22;375531,64
450-04-001;800;203637837;45004001;781903272;2018;86,44072;Parma;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);26404300;399421,39;399421,39
646-21-002;800;403220527;64621002;782125928;2018;114,881873;Euclid;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);26238800;527514,01;527514,01
304-28-001;800;703445845;30428001;782120519;2018;101,872604;Rocky River;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);25146000;448295,49;448295,49
395-20-001;800;703357357;39520001;782118807;2018;74,355749;Strongsville;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);25145500;327199,87;327199,87
644-09-004;800;703717708;64409004;781969642;2018;114,881873;Euclid;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);24716300;496904,88;496904,88
264-02-002;800;203332728;26402002;782016027;2018;97,28997;Olmsted Township;4030;APARTMENTS 40 OR MORE UNITS (WALK-UP);24574900;418406,22;418406,22
101-07-001;800;703287544;10107001;782147824;2018;95,437969;Cleveland;4110;HOTELS;24313500;406075,68;406075,68
483-07-013;800;403265788;48307013;781817110;2018;74,391307;North Royalton;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);24130800;314146,67;314146,67
395-16-012;800;1491489331;39516012;782119341;2018;74,355749;Strongsville;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);23530600;306186,2;306186,2
216-13-004;800;803736411;21613004;782035974;2018;70,44696;Westlake;4120;NURSING HOME;22939900;282808,26;282808,26
102-32-052;800;50542725;10232052;781718982;2018;95,437969;Cleveland;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);22909000;382617,98;382617,98
483-09-004;800;1495522999;48309004;781970287;2018;74,391307;North Royalton;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);22660900;295010,63;295010,63
482-34-010;800;303263816;48234010;781958804;2018;74,391307;North Royalton;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);22407100;291706,54;291706,54
662-24-001;800;203289393;66224001;782239335;2018;103,536333;Richmond Hts.;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);22176000;401804,32;401804,32
102-01-010;800;803295519;10201010;782253864;2018;95,437969;Cleveland;4110;HOTELS;21575800;360351,35;360351,35
396-24-001;800;103373245;39624001;782013913;2018;74,355749;Strongsville;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);20663600;268880,05;268880,05
101-27-301;800;203292714;10127301;782217643;2018;95,437969;Cleveland;4110;HOTELS;20545200;360295,55;343138,62
862-25-001;800;703562026;86225001;782260660;2018;88,969525;Mayfield Hts.;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);20201500;314530,85;314530,85
431-18-001;800;903433382;43118001;781970912;2018;78,908082;Brooklyn;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);19847300;274069,86;274069,86
742-29-017;800;903235877;74229017;781986833;2018;77,928508;Beachwood;4110;HOTELS;19677700;268354,61;268354,61
644-06-002;800;303717254;64406002;782046374;2018;114,881873;Euclid;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);19039400;382774,92;382774,92
101-26-008;800;103291525;10126008;782188741;2018;95,437969;Cleveland;4110;HOTELS;18792700;313869,24;313869,24
323-18-006;800;703620724;32318006;781784837;2018;99,268697;Fairview Park;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);18744300;325626,64;325626,64
742-29-018;800;303235916;74229018;782253860;2018;77,928508;Beachwood;4110;HOTELS;18612100;253822,5;253822,5
561-22-004;800;103499461;56122004;781897838;2018;62,172461;Independence;4110;HOTELS;18558500;212015,98;201919,98
265-08-001;800;103338307;26508001;781910056;2018;97,28997;Olmsted Township;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);18458500;314269,95;314269,95
741-25-009;800;703217173;74125009;781922621;2018;77,928508;Beachwood;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);18417900;263732,81;251174,1
023-02-005;800;103717360;02302005;781964329;2018;95,437969;Cleveland;4110;HOTELS;18369500;322141,16;306801,1
